SCHOOL NAME,LINK TO MENU,API LINK,API MESSAGES,MENU TYPE,,
Hempfield High - Hempfield SD (PA) - PA,https://hempfieldsd.nutrislice.com/menu/hempfield-high/lunch/2026-03-18,https://hempfieldsd.api.nutrislice.com/menu/api/weeks/school/hempfield-high/menu-type/lunch/2026/03/01/,https://hempfieldsd.api.nutrislice.com/menu/api/messages/school/34097/menu-type/6173/,"6173,","34097,",
Lebanon High School - Lebanon School District - PA,https://lebanon.nutrislice.com/menu/lebanon-high/lunch/2026-03-18,https://lebanon.api.nutrislice.com/menu/api/weeks/school/lebanon-high/menu-type/lunch/2026/03/01/,https://lebanon.api.nutrislice.com/menu/api/messages/school/1135/menu-type/1174/,"1174,","1135,",
Lebanon Junior High School - Lebanon School District - PA,http://lebanon.nutrislice.com/menu/lebanon-junior-high-school/lunch/2026-03-18,https://lebanon.api.nutrislice.com/menu/api/weeks/school/lebanon-junior-high-school/menu-type/lunch/2026/03/01/,https://lebanon.api.nutrislice.com/menu/api/messages/school/1135/menu-type/1174/,"1174,","1135,",
Palmyra Area High School - Palmyra Area School District - PA,https://palmyraportal.nutrislice.com/menu/palmyra-area-high-school/lunch,https://palmyraportal.api.nutrislice.com/menu/api/weeks/school/palmyra-area-high-school/menu-type/lunch/2026/03/01/,https://palmyraportal.api.nutrislice.com/menu/api/messages/school/1389/menu-type/1330/,"1330,","1389,",
Palmyra Area Middle School - Palmyra Area School District - PA,http://palmyraportal.nutrislice.com/menu/palmyra-area-middle-school/lunch/2026-03-18,https://palmyraportal.api.nutrislice.com/menu/api/weeks/school/palmyra-area-middle-school/menu-type/lunch/2026/03/01/,https://palmyraportal.api.nutrislice.com/menu/api/messages/school/1389/menu-type/1330/,"1330,","1389,",
Northwestern Lehigh School District - PA,https://nwlehighsd.nutrislice.com/menu/high-school-2/lunch/2026-03-18,https://nwlehighsd.api.nutrislice.com/menu/api/weeks/school/high-school-2/menu-type/lunch/2026/03/01/,https://nwlehighsd.api.nutrislice.com/menu/api/messages/school/7233/menu-type/8800/,"8800,","7233,",
,https://dallastown.nutrislice.com/menu/dallastown-area-high-school/lunch/2026-03-18,https://dallastown.api.nutrislice.com/menu/api/weeks/school/dallastown-area-high-school/menu-type/lunch/2026/03/01/,https://dallastown.api.nutrislice.com/menu/api/messages/school/334/menu-type/53/,"53,","334,",
Dallastown Area Middle School - Dallastown Area School District - PA,https://dallastown.nutrislice.com/menu/dallastown-area-middle-school/lunch/2026-03-18,https://dallastown.api.nutrislice.com/menu/api/weeks/school/dallastown-area-middle-school/menu-type/lunch/2026/03/01/,https://dallastown.api.nutrislice.com/menu/api/messages/school/334/menu-type/53/,"53,","334,",
Hazleton Area High School - Hazleton Area School District - PA,https://hasdk12.nutrislice.com/menu/hazleton-area-high-school/lunch-high-schools/2026-03-18,https://hasdk12.api.nutrislice.com/menu/api/weeks/school/hazleton-area-high-school/menu-type/lunch/2026/03/01/,https://hasdk12.api.nutrislice.com/menu/api/messages/school/1054/menu-type/None/,"None,","1054,",
Northwest Area High - Northwest Area School District - PA,https://nwschools.nutrislice.com/menu/northwest-high-school/davinci-secondary-lunch-sy-2223/2026-03-18,https://nwschools.api.nutrislice.com/menu/api/weeks/school/northwest-high-school/menu-type/davinci-secondary-lunch-sy-2223/2026/03/01/,https://nwschools.api.nutrislice.com/menu/api/messages/school/4568/menu-type/12831/,"12831,","4568,",
Wilkes-Barre Area High School - Wilkes-Barre Area School District - PA,https://wbasd.nutrislice.com/menu/wilkes-barre-area-high-school/lunch/2026-03-18,https://wbasd.api.nutrislice.com/menu/api/weeks/school/wilkes-barre-area-high-school/menu-type/lunch/2026/03/01/,https://wbasd.api.nutrislice.com/menu/api/messages/school/7266/menu-type/1083/,"1083,","7266,",
South Williamsport High School - South Williamsport Area School District - PA,https://swasd.nutrislice.com/menu/south-williamsport-high-school/lunch/2026-03-18,https://swasd.api.nutrislice.com/menu/api/weeks/school/south-williamsport-high-school/menu-type/lunch/2026/03/01/,https://swasd.api.nutrislice.com/menu/api/messages/school/1198/menu-type/1224/,"1224,","1198,",
Port Allegany High - Port Allegany School District - PA,https://pasdedu.nutrislice.com/menu/port-allegany-high/lunch/2026-03-18,https://pasdedu.api.nutrislice.com/menu/api/weeks/school/port-allegany-high/menu-type/lunch/2026/03/01/,https://pasdedu.api.nutrislice.com/menu/api/messages/school/3855/menu-type/3836/,"3836,","3855,",
